"Country","Male","Female"
"Algeria",55.1,42.9
"Andorra",92.9,90.3
"Argentina",75.2,73.5
"Armenia",66.3,63.4
"Australia",87,86.1
"Austria",89.5,85.4
"Azerbaijan",83.9,75.8
"Bahrain",98.7,98.5
"Belarus",79.3,79
"Belgium",90.1,87.3
"Bolivia",47,41.7
"Bosnia and Herzegovina",72.8,67.5
"Brazil",70.9,70
"British Virgin Islands",76.8,78.6
"Brunei Darussalam",90,90
"Bulgaria",66.2,63.4
"Cabo Verde",57.9,56.5
"Cambodia",40,40
"Cameroon",27.4,19.2
"Chile",84,80.7
"Colombia",63.6,64.6
"Costa Rica",73.7,74.5
"C̫te d'Ivoire",56.6,36.4
"Croatia",77.3,73.3
"Curacao",67.5,68.7
"Cyprus",84.3,84.6
"Czech Republic",82.8,78.7
"Denmark",97.4,97.2
"Djibouti",59.9,51.6
"Dominican Rep.",74.6,75
"Ecuador",54.6,53.5
"Egypt",52.4,41.3
"El Salvador",35.1,32.7
"Estonia",89.4,89.3
"Finland",90.2,87.6
"France",83.8,80.4
"Georgia",64.5,61.2
"Germany",91.1,85.3
"Greece",74.9,71.1
"Hong Kong",92,89.1
"Hungary",77.4,74.8
"Iceland",98.6,99.4
"Indonesia",42.3,37.5
"Iran",73.8,66.2
"Ireland",83.3,85.7
"Israel",84.9,82.6
"Italy",77.1,71.8
"Jamaica",51.2,58.9
"Japan",93.7,89
"Kazakhstan",80,77.9
"Korea",97.2,94.8
"Kosovo",89.9,89
"Kuwait",99.5,99.8
"Latvia",87.4,85
"Lithuania",79.5,79.9
"Luxembourg",98.1,96
"Macao",83.8,83.8
"Malawi",17.5,5.5
"Malaysia",83.5,78.7
"Malta",81.6,81.7
"Mauritius",60.9,56.4
"Mexico",67.3,64.4
"Moldova",76,66.9
"Mongolia",42.9,51.1
"Montenegro",71.4,71.7
"Morocco",68.5,61.1
"Netherlands",94.9,94.6
"Niger",7.7,2.9
"Nigeria",8.6,6.4
"North Macedonia",80.9,77.4
"Norway",96,97
"Oman",90.6,96.8
"Pakistan",15.4,9.5
"Palestine",68.5,60.2
"Panama",49.9,52.5
"Paraguay",64.3,65.7
"Peru",55.2,49.9
"Poland",77.8,77.3
"Portugal",76.4,73
"Puerto Rico",69.4,71.7
"Qatar",100,99.3
"Romania",71.8,69.6
"Russia",81.8,80.1
"Saudi Arabia",94.6,91.4
"Serbia",76.8,70.1
"Singapore",88.8,87.6
"Slovakia",80.7,80.6
"Slovenia",81.9,77.6
"Spain",90.7,90.7
"Sudan",16.9,11
"Sweden",90.7,93.7
"Switzerland",90.9,88.5
"Taiwan",85.8,86.6
"Thailand",57.8,55.9
"Togo",16.3,8.6
"Turkey",80.4,67.6
"Ukraine",65.5,60
"United Arab Emirates",98.3,98.8
"United Kingdom",94.5,95.3
"Uruguay",74.2,75.3
"Uzbekistan",60.4,50
"Zambia",15.5,13.2
